Item,Category,Quantity,Unit,Description,Variant Attribute,Options,Purchase Options,Build Applicability,Requires Processing,Processing Note,Manufacturer
1.5 mm Heat-Shrink Tubing,Consumable,50,mm,1.5 mm nominal-diameter heat-shrink tubing. Cut to 50 mm.,,1.5 mm Heat-Shrink Tubing,Amazon: https://amzn.to/4gCbjuF,Clamping,No,,
1.75 mm TPU Filament,Consumable,50,mm,A strand of TPU filament used as a flexible strain relief.,,1.75 mm TPU Filament,Amazon: https://amzn.to/4d789Om,Clamping,No,,
1/2-Inch Steel Spacer,Mechanical,1,each,"Zinc-Plated Steel Unthreaded Spacer
1/2"" OD, 1-3/8"" Long, for Number 10 Screw Size",,Steel Spacer,McMaster-Carr: https://www.mcmaster.com/92414A444/,Clamping,No,,McMaster Carr Source
2-Inch C-Clamp,Mechanical,1,each,,,2-Inch C-Clamp,Home Depot: https://www.homedepot.com/p/Husky-2-in-C-Clamp-HD-2016-0302/207119522,Clamping,No,,Husky
3 mm Heat-Shrink Tubing,Consumable,70,mm,3 mm nominal-diameter heat-shrink tubing. Cut to 70 mm.,,3 mm Heat-Shrink Tubing,Amazon: https://amzn.to/45YNYhQ,Clamping,No,,
4 mm Adhesive-Lined Heat-Shrink Tubing,Consumable,45,mm,4 mm nominal-diameter adhesive-lined heat-shrink tubing. Cut to 45 mm.,,4 mm Adhesive-Lined Heat-Shrink Tubing,Amazon: https://amzn.to/46v0SEq,Clamping,No,,
4.8 mm Heat-Shrink Tubing,Consumable,44,mm,4.8 mm nominal-diameter heat-shrink tubing. Cut to 44 mm.,,4.8 mm Heat-Shrink Tubing,Amazon: https://amzn.to/4xxhuaK,Clamping,No,,
5.5mm Steel Ball,Mechanical,1,each,Wear-Resistant alloy steel ball used in the clamping base,,5.5 mm Steel Ball,McMaster-Carr: https://www.mcmaster.com/9292K74/,Clamping,No,,
AC Power Cord (US),Electronics,1,each,6' (1.83m) Power Cord Black NEMA 1-15P To IEC 320-C7 SPT-2,,AC Power Cord,DigiKey: https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/AC-C7-NA/2743487,Clamping | Freestanding,No,,Same Sky
AC/DC Power Supply,Electronics,1,each,24V 36 W AC/DC External Desktop (Class II) Adapter Cord,,AC/DC Power Supply,DigiKey: https://www.digikey.com/en/products/detail/tt-electronics-power-partners-inc/PSAD36BSF-14-B2/15838735,Clamping | Freestanding,No,,TT Electronics/Power Partners Inc.
Adafruit QT Py ESP32 S2,Electronics,1,each,Adafruit QT Py ESP32-S2 WiFi Dev Board with STEMMA QT,,Adafruit QT Py ESP32 S2,Adafruit: https://www.adafruit.com/product/5325 | Alternate DigiKey: https://www.digikey.com/en/products/detail/adafruit-industries-llc/5325/15901779,Clamping | Freestanding,Yes,"Flash software, solder and trim headers to ~4.6mm (without header insulator)",Adafruit
Alcohol Wipe,Consumable,4,each,70% isopropyl alcohol prep pad used to clean parts before assembly.,,Alcohol Wipe,Amazon: https://amzn.to/4xwmNXG,Clamping | Freestanding,No,,
Aluminum Heat Pipe Top Plate,Lighting,1,each,"Laser cut 6061 T6 Aluminum (.063"" thick) with two tapped holes (m3x0.5)",,Aluminum Heat Pipe Top Plate,,Clamping | Freestanding,No,,
Bronze Sleeve Bearing,Mechanical,1,each,"Oil-Embedded 841 Bronze Sleeve Bearing, 1/2” shaft, 11/16” housing, 7/8” length",,Bronze Sleeve Bearing,McMaster-Carr: https://www.mcmaster.com/6391K739/,Clamping,No,,McMaster Carr Source
